code,name,short_name,Dataset
Em,red grouper,red grouper,Key West
Es,Nassau grouper,Nassau grouper,Key West
Mb,black grouper,black grouper,Key West
Uk,unknown,unknown,Key West
Vs,vessel,vessel,Key West
Sp,Silver perch,Silver perch,May River
SpInt,Silver perch interruption,Silver perch interruption,May River
OyBw,Oyster toadfish boat whistle,Oyster toadfish boat whistle,May River
OyTg,Oyster toadfish grunt,Oyster toadfish grunt,May River
OyInt,Oyster toadfish interruption,Oyster toadfish interruption,May River
Bd,Black drum,Black drum,May River
BdInt,Black drum interruption,Black drum interruption,May River
Ss,Spotted seatrout,Spotted seatrout,May River
SsInt,Spotted seatrout interruption,Spotted seatrout interruption,May River
Rd,Red drum,Red drum,May River
RdInt,Red drum interruption,Red drum interruption,May River
Ac,Atlantic croaker,Atlantic croaker,May River
Wf,Weakfish,Weakfish,May River
BoEcho,Bottlenose dolphin echolocation,Bottlenose dolphin echolocation,May River
BoBP,Bottlenose dolphin burst pulses,Bottlenose dolphin burst pulses,May River
BoWh,Bottlenose dolphin whistles,Bottlenose dolphin whistles,May River
Vs,Vessel,vessel,May River
Vs,Ship,vessel,Multiple
Vs,ship,vessel,Multiple
